,user_id,visit_time,checkout_time,time
0,319350b4-9951-47ef-b3a7-6b252099905f,2017-02-21 07:16:00,2017-02-21 07:27:00,0 days 00:11:00
1,319350b4-9951-47ef-b3a7-6b252099905f,2017-02-21 07:16:00,2017-02-21 07:40:00,0 days 00:24:00
2,7435ec9f-576d-4ebd-8791-361b128fca77,2017-05-16 08:37:00,2017-05-16 08:49:00,0 days 00:12:00
3,7435ec9f-576d-4ebd-8791-361b128fca77,2017-05-16 08:37:00,2017-05-16 08:55:00,0 days 00:18:00
4,08d13edb-071c-4cfb-9ee4-8f377d0e932a,2017-07-08 06:24:00,2017-07-08 06:32:00,0 days 00:08:00
5,c4dac0f2-2fa9-48a8-b056-c3b2a5a5c683,2017-07-09 14:19:00,2017-07-09 14:26:00,0 days 00:07:00
6,c4dac0f2-2fa9-48a8-b056-c3b2a5a5c683,2017-07-09 14:19:00,2017-07-09 14:24:00,0 days 00:05:00
7,c4dac0f2-2fa9-48a8-b056-c3b2a5a5c683,2017-07-09 14:19:00,2017-07-09 14:39:00,0 days 00:20:00
8,c4dac0f2-2fa9-48a8-b056-c3b2a5a5c683,2017-07-09 14:19:00,2017-07-09 14:42:00,0 days 00:23:00
9,f028e9dd-77d0-4002-83f6-372a4837fda6,2017-10-27 08:46:00,2017-10-27 08:57:00,0 days 00:11:00
10,746631d2-35d5-441e-a21b-e5f39442f981,2017-06-19 23:34:00,2017-06-19 23:52:00,0 days 00:18:00
11,746631d2-35d5-441e-a21b-e5f39442f981,2017-06-19 23:34:00,2017-06-19 23:47:00,0 days 00:13:00
12,a0fc94a2-4a80-4a33-994b-75783066ac62,2017-05-11 13:07:00,2017-05-11 13:31:00,0 days 00:24:00
13,e2c24ee0-7fdf-4400-abde-b36378fe5ce6,2017-07-04 15:33:00,2017-07-04 15:39:00,0 days 00:06:00
14,e6c7ecb9-4710-4cbd-ad02-c43971ebbe7f,2017-09-27 16:10:00,2017-09-27 16:30:00,0 days 00:20:00
15,fe07fc99-3943-4000-99a5-422957a42ea1,2017-10-07 15:08:00,2017-10-07 15:25:00,0 days 00:17:00
